phone_name,condition1,oldprice,ram,rom
iPhone 13 Pro Max,Cũ đẹp,18.390.000 ₫,6 GB,256 GB
iPhone 13,Cũ đẹp,11.990.000 ₫,4 GB,128 GB
iPhone Xs Max,Cũ trầy xước,7.490.000 ₫,,256 GB
iPhone 11,Cũ trầy xước,7.490.000 ₫,4 GB,128 GB
iPhone 13 Pro Max,Cũ đẹp,17.290.000 ₫,6 GB,256 GB
iPhone X,Cũ đẹp,5.890.000 ₫,,256 GB
iPhone 12,Cũ trầy xước,9.290.000 ₫,,128 GB
iPhone 11 Pro,Cũ đẹp,8.290.000 ₫,4 GB,64 GB
iPhone 13 Pro Max,Cũ trầy xước,18.890.000 ₫,6 GB,512 GB
iPhone 11,Cũ đẹp,6.990.000 ₫,4 GB,64 GB
iPhone 12 Pro Max,Cũ trầy xước,14.290.000 ₫,,128 GB
iPhone 11,Cũ đẹp,7.990.000 ₫,4 GB,128 GB
iPhone 13,Cũ đẹp,13.590.000 ₫,4 GB,256 GB
iPhone 11 Pro,Cũ đẹp,9.890.000 ₫,4 GB,256 GB
iPhone 11 Pro,Cũ trầy xước,7.690.000 ₫,4 GB,64 GB
iPhone 12 Pro,Cũ đẹp,12.090.000 ₫,,128 GB
iPhone Xs,Cũ đẹp,5.790.000 ₫,,64 GB
iPhone X,Cũ đẹp,5.190.000 ₫,,64 GB
iPhone 11 Pro Max,Cũ đẹp,10.390.000 ₫,4 GB,64 GB
iPhone 14 Pro Max,Cũ đẹp,22.590.000 ₫,6 GB,128 GB
iPhone XR,Cũ đẹp,5.590.000 ₫,,64 GB
iPhone 11,Cũ trầy xước,6.490.000 ₫,4 GB,64 GB
OPPO Reno11 F,Cũ đẹp,5.990.000 ₫,8 GB,256 GB
iPhone 11 Pro Max,Cũ đẹp,11.890.000 ₫,4 GB,256 GB
iPhone 15 Plus,Cũ đẹp,19.390.000 ₫,,128 GB
iPhone Xs Max,Cũ đẹp,7.190.000 ₫,,64 GB
iPhone Xs Max,Cũ trầy xước,6.590.000 ₫,,64 GB
iPhone 15 Pro Max,Cũ đẹp,26.690.000 ₫,,256 GB
iPhone SE 2022,Cũ Đẹp,8.490.000 ₫,4 GB,256 GB
iPhone 8 Plus,cũ đẹp,4.590.000 ₫,3 GB,64 GB
Samsung Galaxy S21 Ultra,Cũ đẹp,8.990.000 ₫,8 GB,128 GB
iPhone 14 Pro,Cũ xước cấn,17.390.000 ₫,,128 GB
iPhone 15,Cũ đẹp,16.790.000 ₫,,128 GB
iPhone 12 Pro Max,Cũ trầy xước,15.290.000 ₫,,256 GB
Nubia Neo 2,Đã kích hoạt,3.790.000 ₫,,
Xiaomi Redmi Note 13 Pro Plus,Cũ đẹp,7.090.000 ₫,8 GB,256 GB
iPhone SE 2022,cũ trầy xước,7.390.000 ₫,4 GB,128 GB
iPhone 14 Pro,Cũ đẹp,19.390.000 ₫,,128 GB
iPhone 6s,cũ đẹp,2.390.000 ₫,,64 GB
iPhone Xs Max,Cũ đẹp,8.090.000 ₫,,256 GB
iPhone 12 Pro Max,Cũ đẹp,15.290.000 ₫,,128 GB
iPhone 11,Cũ đẹp,8.990.000 ₫,4 GB,256 GB
iPhone 13 Pro,Cũ đẹp,15.590.000 ₫,6 GB,128 GB
iPhone 12,Cũ đẹp,9.990.000 ₫,,128 GB
iPhone 7,Cũ đẹp,3.090.000 ₫,,128 GB
iPhone 12,Cũ trầy xước,8.290.000 ₫,,64 GB
iPhone 12 Pro Max,Cũ trầy xước,15.790.000 ₫,6 GB,512 GB
Xiaomi Redmi Note 13 Pro,Cũ đẹp,5.390.000 ₫,8 GB,256 GB
iPhone 15 Pro Max,Cũ đẹp,29.990.000 ₫,,512 GB
iPhone 15 Pro,Cũ đẹp,21.890.000 ₫,,128 GB
iPhone 13 Pro Max,Cũ trầy xước,16.290.000 ₫,6 GB,128 GB
iPhone XR,Cũ đẹp,6.190.000 ₫,,128 GB
iPhone 7 Plus,cũ đẹp,4.490.000 ₫,,128 GB
iPhone 13 Mini,Cũ đẹp,10.790.000 ₫,4 GB,128 GB
iPhone 7 Plus,cũ đẹp,3.590.000 ₫,,32 GB
Tecno Camon 30,Đã kích hoạt,4.690.000 ₫,8 GB,256 GB
Samsung Galaxy A35,Cũ đẹp,5.790.000 ₫,8 GB,128 GB
iPhone 12,Cũ đẹp,8.990.000 ₫,,64 GB
OPPO Reno8 T,Cũ đẹp,4.790.000 ₫,8GB + Mở rộng 8GB,256 GB
iPhone 12 Pro Max,Cũ đẹp,16.290.000 ₫,,256 GB
iPhone 8 Plus,cũ đẹp,5.590.000 ₫,,256 GB
iPhone Xs,Cũ đẹp,6.790.000 ₫,,256 GB
Xiaomi Redmi Note 13 Pro,Đã kích hoạt-Tím,5.290.000 ₫,8 GB,128 GB
Xiaomi 13T,Cũ xước cấn,6.490.000 ₫,8 GB,256 GB
iPhone 13,Cũ trầy xước,12.890.000 ₫,4 GB,256 GB
iPhone 14 Pro,Cũ đẹp,20.390.000 ₫,6 GB,256 GB
iPhone X,Cũ trầy xước,4.690.000 ₫,,64 GB
OPPO Reno11 F,Đã kích hoạt,6.590.000 ₫,8 GB,256 GB
OPPO Reno8 T,Cũ đẹp,4.790.000 ₫,8 GB,128 GB
iPhone 14 Pro Max,Cũ trầy xước,22.590.000 ₫,,256 GB
iPhone 11 Pro Max,Cũ trầy xước,11.190.000 ₫,4 GB,256 GB
iPhone 14 Pro,Cũ trầy xước,18.390.000 ₫,,128 GB
iPhone 11 Pro,Cũ trầy xước,9.190.000 ₫,4 GB,256 GB
iPhone 13 Pro,Cũ đẹp,16.590.000 ₫,6 GB,256 GB
iPhone Xs,Cũ trầy xước,5.290.000 ₫,,64 GB
iPhone 12 Pro,Cũ trầy xước,11.390.000 ₫,,128 GB
iPhone 14 Plus,Cũ trầy xước,15.090.000 ₫,6 GB,128 GB
Vivo V30E,Đã kích hoạt,7.890.000 ₫,12 GB,256 GB
iPhone 12 Mini,Cũ trầy xước,7.990.000 ₫,,128 GB
Xiaomi Redmi Note 13 Pro,Đã kích hoạt,5.290.000 ₫,8 GB,128 GB
iPhone 11 Pro Max,Cũ trầy xước,9.690.000 ₫,4 GB,64 GB
iPhone 13 Pro Max,Cũ trầy xước,17.390.000 ₫,6 GB,256 GB
OPPO Find X5 Pro,Đã kích hoạt,13.590.000 ₫,12 GB,256 GB
iPhone 15 Pro Max,Cũ trầy xước,25.690.000 ₫,,256 GB
iPhone 15 Pro,Cũ đẹp,24.390.000 ₫,,256 GB
iPhone 8 Plus,cũ đẹp,5.590.000 ₫,,256 GB
iPhone 12 Mini,Cũ đẹp,7.690.000 ₫,,64 GB
iPhone 13 Mini,Cũ trầy xước,10.090.000 ₫,4 GB,128 GB
iPhone 11 Pro Max,Cũ đẹp,12.390.000 ₫,4 GB,512 GB
iPhone 8 Plus,Cũ trầy xước,5.090.000 ₫,,256 GB
Xiaomi Redmi Note 13 Pro,Cũ đẹp,4.790.000 ₫,8 GB,128 GB
iPhone Xs,Cũ trầy xước,6.290.000 ₫,,256 GB
iPhone 11 Pro,Cũ xước cấn,7.090.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Cũ trầy xước,11.190.000 ₫,4 GB,256 GB
iPhone Xs,Cũ đẹp,7.790.000 ₫,,512 GB
iPhone 14,Đã kích hoạt bảo hành,15.290.000 ₫,6 GB,128 GB
iPhone 12 Pro,Cũ trầy xước,12.390.000 ₫,,256 GB
iPhone 14 Pro,Cũ xước cấn,18.390.000 ₫,6 GB,256 GB
iPhone 15 Plus,Cũ Xước Cấn,17.390.000 ₫,,128 GB
iPhone 14 Pro Max,Cũ xước cấn,20.590.000 ₫,6 GB,128 GB
iPhone 12 Pro,Cũ đẹp,12.090.000 ₫,,128 GB
iPhone 13 Mini,Cũ đẹp,12.090.000 ₫,4 GB,256 GB
iPhone 13 Pro,Cũ đẹp,15.590.000 ₫,6 GB,128 GB
Sony Xperia 10V,Đã kích hoạt,7.390.000 ₫,,
OPPO Reno12 F,Đã kích hoạt,7.790.000 ₫,,
iPhone 13 Pro,Cũ trầy xước,14.590.000 ₫,6 GB,128 GB
iPhone XR,Cũ trầy xước,5.090.000 ₫,,64 GB
iPhone 11 Pro Max,Cũ đẹp,10.390.000 ₫,4 GB,64 GB
iPhone 11 Pro Max,Cũ trầy xước,9.690.000 ₫,4 GB,64 GB
iPhone Xs Max,Cũ trầy xước,6.590.000 ₫,,64 GB
iPhone 13 Pro Max,Cũ xước cấn,16.390.000 ₫,6 GB,256 GB
OPPO Reno12,Đã kích hoạt,10.590.000 ₫,,
iPhone XR,Cũ trầy xước,6.890.000 ₫,,256 GB
iPhone 11 Pro Max,Cũ xước cấn,10.390.000 ₫,4 GB,256 GB
iPhone 14 Pro Max,Cũ đẹp,23.590.000 ₫,,256 GB
iPhone 11,Cũ đẹp,6.990.000 ₫,4 GB,64 GB
OPPO Reno10 Pro Plus,Đã kích hoạt,11.990.000 ₫,12 GB,256 GB
iPhone 7 Plus,cũ trầy xước,4.090.000 ₫,,128 GB
iPhone XR,Cũ đẹp,6.190.000 ₫,,128 GB
Xiaomi 12T,Cũ Trầy Xước,6.090.000 ₫,8 GB,128 GB
Xiaomi 13 Lite,Cũ Đẹp,6.090.000 ₫,8 GB,256 GB
Xiaomi 13T,Đã Kích Hoạt,9.090.000 ₫,12 GB,256 GB
Xiaomi Redmi Note 13,Đã Kích Hoạt,3.790.000 ₫,6 GB,128 GB
Xiaomi Redmi Note 13 Pro Plus,Đã Kích Hoạt,7.890.000 ₫,8 GB,256 GB
iPhone 11,Cũ đẹp,8.990.000 ₫,4 GB,256 GB
Samsung Galaxy S21 FE,Cũ Đẹp,6.890.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Plus,Cũ Trầy Xước,8.990.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Đẹp,15.090.000 ₫,12 GB,512 GB
Samsung Galaxy S22 Ultra,Cũ đẹp,13.090.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Xước Cấn,11.590.000 ₫,8 GB,128 GB
Samsung Galaxy Z Flip5,Cũ Đẹp,11.390.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip5,Đã Kích Hoạt,12.590.000 ₫,8 GB,256 GB
Samsung Galaxy Z Fold3,Cũ trầy xước,11.490.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold3,Cũ đẹp,13.490.000 ₫,12 GB,512 GB
Samsung Galaxy Z Fold4,Cũ Xước Cấn,14.090.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold5,Cũ Đẹp,22.790.000 ₫,12 GB,512 GB
Vivo X70 Pro,Cũ Đẹp,7.390.000 ₫,12 GB,256 GB
Samsung Galaxy S23 Ultra,Cũ Đẹp,19.790.000 ₫,12 GB,512 GB
Samsung Galaxy S24,Đã Kích Hoạt,15.590.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip4,Cũ Đẹp,7.790.000 ₫,8 GB,128 GB
iPhone 12,Cũ đẹp,8.990.000 ₫,,64 GB
iPhone 14 Pro,Cũ đẹp,20.390.000 ₫,6 GB,256 GB
iPhone 14 Pro,Cũ xước cấn,18.390.000 ₫,6 GB,256 GB
Samsung Galaxy A73,Cũ Trầy Xước,5.490.000 ₫,8 GB,128 GB
OPPO A78,Cũ Đẹp,4.590.000 ₫,8 GB,256 GB
OPPO Reno10,Cũ Đẹp,6.490.000 ₫,8 GB,256 GB
iPhone X,Cũ trầy xước,4.690.000 ₫,,64 GB
iPhone XR,Cũ đẹp,7.390.000 ₫,,256 GB
Samsung Galaxy Note 20 Ultra,Cũ Xước Cấn,8.590.000 ₫,12 GB,256 GB
Samsung Galaxy Note 20 Ultra,Cũ Xước Cấn,7.490.000 ₫,8 GB,256 GB
Samsung Galaxy Note 20,Cũ đẹp,6.290.000 ₫,8 GB,256 GB
Samsung Galaxy Note 20,Cũ trầy xước,5.790.000 ₫,8 GB,256 GB
Samsung Galaxy Note 20 Ultra,Cũ Trầy Xước,11.890.000 ₫,12 GB,256 GB
Samsung Galaxy S21,Cũ đẹp,6.390.000 ₫,8 GB,128 GB
Samsung Galaxy Z Flip4,Cũ Đẹp,8.490.000 ₫,8 GB,256 GB
OPPO A96,Cũ Trầy Xước,2.890.000 ₫,8 GB,128 GB
OPPO Find N2 Flip,Cũ Đẹp,9.690.000 ₫,8 GB,256 GB
iPhone 14 Pro Max,Cũ trầy xước,22.590.000 ₫,,256 GB
iPhone 6s,cũ đẹp,2.390.000 ₫,,64 GB
iPhone 14 Pro Max,Cũ đẹp,22.590.000 ₫,6 GB,128 GB
iPhone 13,Cũ đẹp,11.990.000 ₫,4 GB,128 GB
iPhone 11,Cũ trầy xước,7.590.000 ₫,4 GB,128 GB
Samsung Galaxy S23 Ultra,Cũ Trầy Xước,18.790.000 ₫,12 GB,512 GB
Samsung Galaxy S23 Ultra,Cũ đẹp,17.290.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip4,Cũ Đẹp,8.490.000 ₫,8 GB,256 GB
Samsung Galaxy Z Flip4,Cũ Trầy Xước,7.890.000 ₫,8 GB,256 GB
Samsung Galaxy Z Fold4,Cũ Trầy Xước,14.590.000 ₫,12 GB,256 GB
Samsung Galaxy Z Fold5,Đã Kích Hoạt,23.290.000 ₫,12 GB,256 GB
Vivo Y02,Cũ Trầy Xước,1.290.000 ₫,2 GB,32 GB
Samsung Galaxy S22 Plus,Cũ Đẹp,9.690.000 ₫,8 GB,128 GB
Samsung Galaxy S22 Ultra,Cũ Trầy Xước,12.390.000 ₫,8 GB,128 GB
iPhone 13 Pro Max,Cũ đẹp,20.090.000 ₫,6 GB,512 GB
iPhone 13,Cũ đẹp,14.390.000 ₫,4 GB,512 GB
iPhone Xs Max,Cũ trầy xước,8.090.000 ₫,,512 GB
Xiaomi Redmi Note 12,Cũ đẹp,2.990.000 ₫,4 GB,128 GB
Samsung Galaxy S24 Ultra,Cũ đẹp,21.790.000 ₫,12 GB,256 GB
iPhone 13,Cũ trầy xước,11.290.000 ₫,8GB,
Samsung Galaxy M20,Cũ xước cấn,690.000 ₫,,32 GB
Tecno Pova 6 Neo,Đã kích hoạt,3.390.000 ₫,8 GB,128 GB
Infinix Note 30,Cũ trầy xước,3.090.000 ₫,8GB + Mở rộng 8GB,256 GB
Itel S23,Đã Kích Hoạt,1.890.000 ₫,8 GB,256 GB
Xiaomi Redmi 13C,Cũ trầy xước,1.990.000 ₫,6 GB,128 GB
Samsung Galaxy A55,Cũ đẹp,7.590.000 ₫,8 GB,256 GB
Realme 9 Pro,Cũ trầy xước,2.490.000 ₫,8 GB,128 GB
Infinix Note 40 Pro,Đã kích hoạt,4.990.000 ₫,8 GB,256 GB
ZTE Blade V50 Design,Đã Kích Hoạt,2.390.000 ₫,8GB + Mở rộng 10GB,256 GB
Samsung Galaxy S20 FE,Cũ trầy xước,4.690.000 ₫,8 GB,256 GB
iPhone 14 Plus,Cũ đẹp,16.090.000 ₫,6 GB,128 GB
iPhone 12,Cũ trầy xước,12.590.000 ₫,4 GB,256 GB
iPhone 6s,cũ đẹp,2.090.000 ₫,,16 GB
iPhone SE,cũ Trầy Xước,2.500.000 ₫,,128 GB
iPhone 12,Cũ đẹp,10.990.000 ₫,4 GB,256 GB
iPhone 12 Pro,Cũ đẹp,13.090.000 ₫,,256 GB
iPhone 13,Cũ trầy xước,17.390.000 ₫,4 GB,512 GB
iPhone 11 Pro,Cũ đẹp,12.690.000 ₫,4 GB,512 GB
Samsung Galaxy A23,cũ đẹp,2.890.000 ₫,4 GB,128 GB
iPhone 7,cũ trầy xước,2.690.000 ₫,,32 GB
Realme C53,Cũ đẹp,,6 GB,128 GB
iPhone SE 2020,cũ đẹp,5.590.000 ₫,3 GB,128 GB
Infinix Hot 40i,Đã kích hoạt,1.790.000 ₫,,
Tecno Spark 20 Pro Plus,Cũ đẹp,3.590.000 ₫,,
iPhone 13 Pro Max,Cũ trầy xước,19.890.000 ₫,6 GB,1 TB
Realme C30S,Cũ xước cấn,890.000 ₫,,
iPhone XR,Cũ đẹp,7.390.000 ₫,,256 GB
Samsung Galaxy A03,Cũ - Đẹp,1.390.000 ₫,3 GB,32 GB
OPPO RENO 7,Cũ đẹp,3.890.000 ₫,8 GB,256 GB
iPhone Xs Max,Cũ đẹp,8.690.000 ₫,,512 GB
Samsung Galaxy A22,cũ đẹp,2.790.000 ₫,6 GB,128 GB
iPhone 6s,cũ đẹp,2.990.000 ₫,,128 GB
Xiaomi 12T,Cũ Trầy Xước,6.090.000 ₫,8 GB,128 GB
iPhone 7,cũ đẹp,3.090.000 ₫,,128 GB
Realme C55,Cũ Đẹp,3.390.000 ₫,8 GB,256 GB
ASUS ROG Phone 5S,Cũ xước cấn,10.490.000 ₫,16 GB,256 GB
Xiaomi 13,Cũ đẹp,11.590.000 ₫,8 GB,256 GB
OPPO A17,Cũ đẹp,2.090.000 ₫,4 GB,64 GB
Samsung Galaxy A52,Cũ đẹp,3.890.000 ₫,8 GB,128 GB
Samsung Galaxy A13,Cũ đẹp,3.190.000 ₫,6 GB,128 GB
OPPO A55,Cũ - Đẹp,2.690.000 ₫,4 GB,64 GB
Infinix Hot 40 Pro Free Fire,Cũ trầy xước,2.490.000 ₫,,
Xiaomi POCO M6,Đã kích hoạt,3.190.000 ₫,6 GB,128 GB
Samsung Galaxy A32,Cũ - Đẹp,3.890.000 ₫,6 GB,128 GB
Tecno Spark 20 Pro Plus,Đã kích hoạt,3.990.000 ₫,,
iPhone 6s,cũ trầy xước,1.590.000 ₫,,16 GB
Samsung Galaxy A53,Cũ Đẹp,4.490.000 ₫,8 GB,128 GB
iPhone 13,Đã kích hoạt,12.790.000 ₫,4 GB,128 GB
Realme 9 Pro Plus,Cũ trầy xước,3.390.000 ₫,8 GB,128 GB
Vivo Y02S,Cũ đẹp,1.690.000 ₫,3 GB,32 GB
OPPO A95,Cũ trầy xước,3.090.000 ₫,8 GB,128 GB
ZTE Blade A52,Cũ đẹp,1.090.000 ₫,3 GB,64 GB
Nokia 8210,Cũ Đẹp,890.000 ₫,,128 MB
iPhone 6s Plus,cũ đẹp,2.690.000 ₫,,16 GB
iPhone 6s,cũ trầy xước,1.790.000 ₫,,32 GB
Samsung Galaxy S23 Plus,Cũ xước cấn,12.790.000 ₫,8 GB,512 GB
Samsung Galaxy M55,Đã kích hoạt,8.890.000 ₫,12 GB,256 GB
iPhone SE,cũ Trầy Xước,1.800.000 ₫,,16 GB
Samsung Galaxy A52s,Cũ - Đẹp,4.490.000 ₫,8 GB,128 GB
iPhone 15 Pro Max,Đã kích hoạt,27.690.000 ₫,,256 GB
Samsung Galaxy S23 FE,Cũ đẹp,9.590.000 ₫,8 GB,256 GB
Xiaomi Mi 11T,Cũ đẹp,4.290.000 ₫,8 GB,128 GB
Xiaomi Mi 11 Lite,Cũ đẹp,4.490.000 ₫,8 GB,256 GB
Xiaomi Redmi Note 11 Pro PLUS,Cũ đẹp,4.590.000 ₫,8 GB,256 GB
OPPO A15S,CŨ TRẦY XƯỚC,1.490.000 ₫,4 GB,64 GB
iPhone 13 Mini,Cũ trầy xước,10.390.000 ₫,4 GB,512 GB
Samsung Galaxy A03S,Cũ đẹp,1.990.000 ₫,4 GB,64 GB
ZTE Blade A54,Đã kích hoạt,1.690.000 ₫,4GB + Mở rộng 4GB,128 GB
iPhone X,Cũ trầy xước,5.390.000 ₫,,256 GB
Asus ROG Phone 5S,cũ đẹp,11.490.000 ₫,16 GB,256 GB
iPhone 7,cũ đẹp,2.590.000 ₫,,32 GB
iPhone SE 2022,cũ trầy xước,6.590.000 ₫,4 GB,64 GB
iPhone 15,Đã kích hoạt,17.790.000 ₫,,128 GB
Xiaomi Redmi Note 11 Pro,Cũ đẹp,4.890.000 ₫,8 GB,128 GB
iPhone 12 Pro Max,Cũ đẹp,16.590.000 ₫,6 GB,512 GB
Oppo Reno7 Z,Cũ đẹp,4.890.000 ₫,8 GB,128 GB
Xiaomi Redmi Note 11,Cũ trầy xước,2.090.000 ₫,4 GB,64 GB
Samsung Galaxy S22 Ultra,Cũ xước cấn,12.290.000 ₫,,
Samsung Galaxy A73,Đã Kích Hoạt,8.590.000 ₫,8 GB,256 GB
iPhone 11 Pro,Cũ trầy xước,10.290.000 ₫,4 GB,512 GB
iPhone 7,cũ trầy xước,3.090.000 ₫,,128 GB
NOKIA G22,Cũ đẹp,1.990.000 ₫,4 GB,128 GB
Infinix Hot 40 Pro Free Fire,Đã kích hoạt,4.290.000 ₫,,
iPhone 12 Mini,Cũ trầy xước,6.990.000 ₫,,64 GB
Samsung Galaxy A13,Cũ - Đẹp,2.290.000 ₫,4 GB,128 GB
realme C51,Đã Kích Hoạt,2.390.000 ₫,4GB + Mở rộng 4GB,128 GB
Itel S23,Đã Kích Hoạt,2.090.000 ₫,8 GB,128 GB
iPhone 11 Pro Max,Cũ trầy xước,11.590.000 ₫,4 GB,512 GB
